GPA,Grade,Gender,Gender_desc,calories_day,calories_day_desc,comfort_food_reasons_coded,comfort_food_reasons_coded_desc,cook,cook_desc,cuisine,cuisine_desc,diet_current_coded,diet_current_coded_desc,eating_out,eating_out_desc,employment,employment_desc,ethnic_food,ethnic_food_desc,exercise,exercise_desc,fav_cuisine_coded,fav_cuisine_coded_desc,fav_food,fav_food_desc,food_childhood,food_childhood_split,fruit_day,fruit_day_desc,greek_food,greek_food_desc,healthy_feeling,income,income_desc,indian_food,indian_food_desc,italian_food,italian_food_desc,marital_status,marital_status_desc,nutritional_check,nutritional_check_desc,on_off_campus,on_off_campus_desc,parents_cook,parents_cook_desc,pay_meal_out,pay_meal_out_desc,persian_food,persian_food_desc,self_perception_weight,self_perception_weight_desc,sports,sports_desc,thai_food,thai_food_desc,veggies_day,veggies_day_desc,vitamins,vitamins_desc,weight
2.4,C,2,Male,,,9,none,2,A couple of times a week,,,1,healthy/balanced/moderated/,3,2-3 times,3,no,1,very unlikely,1,Everyday,3,Arabic/Turkish,1,cooked at home,rice  and chicken ,rice  and chicken ,5,very likely,5,very likely,2,5,"$70,001 to $100,000",5,very likely,5,very likely,1,Single ,5,on everything,1,On campus,1,Almost everyday,2,$5.01 to $10.00,5,very likely,3,just right,1,Yes,1,very unlikely,5,very likely,1,Yes,187
3.654,B+,1,Female,3,it is moderately important ,1,stress,3,"Whenever I can, but that is not very often",1,American,2,unhealthy/cheap/too much/random/,2,1-2 times,2,yes part time,4,likely,1,Everyday,1,Italian/French/greek,1,cooked at home,"chicken and biscuits, beef soup, baked beans",chicken and biscuits,4,likely,4,likely,5,4,"$50,001 to $70,000",4,likely,4,likely,2,In a relationship ,4,on most products,1,On campus,1,Almost everyday,4,$20.01 to $30.00,4,likely,3,just right,1,Yes,2,unlikely,4,likely,2,No,155
3.3,B,1,Female,4,it is very important,1,stress,1,Every day,3,Korean/Asian,3,the same thing over and over,2,1-2 times,3,no,5,very likely,2,Twice or three times per week,1,Italian/French/greek,3,both bought at store and cooked at home,"mac and cheese, pizza, tacos",mac and cheese,5,very likely,5,very likely,6,6,"higher than $100,000",5,very likely,5,very likely,2,In a relationship ,4,on most products,2,Rent out of campus,1,Almost everyday,3,$10.01 to $20.00,5,very likely,6,i dont think myself in these terms,2,No,5,very likely,5,very likely,1,Yes,
3.2,B,1,Female,3,it is moderately important ,2,boredom,2,A couple of times a week,2,Mexican.Spanish,2,unhealthy/cheap/too much/random/,2,1-2 times,3,no,5,very likely,3,Once a week,3,Arabic/Turkish,1,cooked at home,"Beef stroganoff, tacos, pizza",Beef stroganoff,4,likely,5,very likely,7,6,"higher than $100,000",5,very likely,5,very likely,2,In a relationship ,2,on certain products only,1,On campus,1,Almost everyday,2,$5.01 to $10.00,5,very likely,5,overweight,2,No,5,very likely,3,neutral,1,Yes,240
3.5,B+,1,Female,2,it is not at all important ,1,stress,1,Every day,2,Mexican.Spanish,2,unhealthy/cheap/too much/random/,2,1-2 times,2,yes part time,4,likely,1,Everyday,1,Italian/French/greek,3,both bought at store and cooked at home,"Pasta, chicken tender, pizza ",Pasta,4,likely,4,likely,6,6,"higher than $100,000",2,unlikely,5,very likely,1,Single ,3,very rarely,1,On campus,1,Almost everyday,4,$20.01 to $30.00,2,unlikely,4,slightly overweight,1,Yes,4,likely,4,likely,2,No,190
2.25,C,1,Female,3,it is moderately important ,4,hunger,3,"Whenever I can, but that is not very often",,,2,unhealthy/cheap/too much/random/,1,Never,3,no,4,likely,2,Twice or three times per week,6,African,3,both bought at store and cooked at home,"Fries, plaintain & fried fish",Fries,2,unlikely,2,unlikely,4,1,"less than $15,000",5,very likely,5,very likely,2,In a relationship ,1,never,1,On campus,2,2-3 times a week,5,$30.01 to $40.00,5,very likely,5,overweight,2,No,4,likely,1,very unlikely,2,No,190
3.8,B+,2,Male,3,it is moderately important ,1,stress,2,A couple of times a week,1,American,3,the same thing over and over,2,1-2 times,3,no,5,very likely,1,Everyday,4,asian/chineses/thai/nepal,1,cooked at home,"grilled chicken, hamburgers",grilled chicken,4,likely,5,very likely,4,4,"$50,001 to $70,000",5,very likely,5,very likely,1,Single ,4,on most products,2,Rent out of campus,2,2-3 times a week,2,$5.01 to $10.00,5,very likely,4,slightly overweight,1,Yes,5,very likely,4,likely,1,Yes,180
3.3,B,1,Female,3,it is moderately important ,1,stress,3,"Whenever I can, but that is not very often",1,American,1,healthy/balanced/moderated/,2,1-2 times,2,yes part time,2,unlikely,2,Twice or three times per week,5,American,1,cooked at home,"chicken, cheesey potatoes, and hot dogs",chicken,5,very likely,3,neutral,3,5,"$70,001 to $100,000",1,very unlikely,3,neutral,1,Single ,4,on most products,1,On campus,1,Almost everyday,5,$30.01 to $40.00,1,very unlikely,3,just right,2,No,1,very unlikely,4,likely,2,No,137
3.3,B,1,Female,,,2,boredom,3,"Whenever I can, but that is not very often",1,American,1,healthy/balanced/moderated/,5,every day,2,yes part time,5,very likely,,,1,Italian/French/greek,3,both bought at store and cooked at home,"Shrimp, spaghetti",Shrimp,4,likely,5,very likely,7,5,"$70,001 to $100,000",5,very likely,5,very likely,2,In a relationship ,2,on certain products only,1,On campus,2,2-3 times a week,3,$10.01 to $20.00,5,very likely,4,slightly overweight,2,No,5,very likely,3,neutral,2,No,180
3.3,B,1,Female,3,it is moderately important ,1,stress,3,"Whenever I can, but that is not very often",1,American,1,healthy/balanced/moderated/,3,2-3 times,3,no,5,very likely,1,Everyday,1,Italian/French/greek,1,cooked at home,"Pasta, Eggs, Pancakes ",Pasta,5,very likely,5,very likely,3,4,"$50,001 to $70,000",4,likely,5,very likely,2,In a relationship ,5,on everything,1,On campus,3,1-2 times a week,3,$10.01 to $20.00,4,likely,3,just right,1,Yes,4,likely,5,very likely,1,Yes,125
3.5,B+,1,Female,3,it is moderately important ,2,boredom,1,Every day,1,American,1,healthy/balanced/moderated/,2,1-2 times,1,yes full time,5,very likely,1,Everyday,4,asian/chineses/thai/nepal,1,cooked at home,Chicken,Chicken,5,very likely,1,very unlikely,9,3,"$30,001 to $50,000",1,very unlikely,5,very likely,1,Single ,2,on certain products only,3,Live with my parents and commute,1,Almost everyday,2,$5.01 to $10.00,2,unlikely,1,slim,1,Yes,2,unlikely,5,very likely,2,No,116
3.904,B+,1,Female,4,it is very important,3,depression/sadness,3,"Whenever I can, but that is not very often",1,American,1,healthy/balanced/moderated/,1,Never,2,yes part time,5,very likely,1,Everyday,1,Italian/French/greek,1,cooked at home,Scalloped potatoes and ham ,Scalloped potatoes and ham ,5,very likely,5,very likely,1,5,"$70,001 to $100,000",5,very likely,5,very likely,2,In a relationship ,5,on everything,1,On campus,1,Almost everyday,3,$10.01 to $20.00,5,very likely,2,very fit,1,Yes,5,very likely,5,very likely,1,Yes,110
3.4,B,2,Male,3,it is moderately important ,3,depression/sadness,5,"Never, I really do not know my way around a kitchen",1,American,1,healthy/balanced/moderated/,1,Never,3,no,4,likely,3,Once a week,4,asian/chineses/thai/nepal,3,both bought at store and cooked at home,"Pizza, chicken wings, and corn on the cob ",Pizza,4,likely,3,neutral,9,5,"$70,001 to $100,000",3,neutral,4,likely,2,In a relationship ,2,on certain products only,1,On campus,2,2-3 times a week,2,$5.01 to $10.00,3,neutral,5,overweight,1,Yes,3,neutral,3,neutral,2,No,264
3.6,B+,1,Female,3,it is moderately important ,1,stress,2,A couple of times a week,1,American,2,unhealthy/cheap/too much/random/,4,3-5 times,2,yes part time,5,very likely,2,Twice or three times per week,1,Italian/French/greek,1,cooked at home,"steak, lasagna, crab",steak,5,very likely,4,likely,8,5,"$70,001 to $100,000",3,neutral,5,very likely,2,In a relationship ,2,on certain products only,2,Rent out of campus,2,2-3 times a week,3,$10.01 to $20.00,3,neutral,3,just right,1,Yes,5,very likely,5,very likely,2,No,123
3.1,B,2,Male,3,it is moderately important ,2,boredom,3,"Whenever I can, but that is not very often",1,American,1,healthy/balanced/moderated/,2,1-2 times,3,no,4,likely,2,Twice or three times per week,4,asian/chineses/thai/nepal,3,both bought at store and cooked at home,Pizza,Pizza,5,very likely,4,likely,2,5,"$70,001 to $100,000",2,unlikely,3,neutral,1,Single ,2,on certain products only,2,Rent out of campus,2,2-3 times a week,3,$10.01 to $20.00,1,very unlikely,3,just right,1,Yes,4,likely,5,very likely,1,Yes,185
,,2,Male,,,2,boredom,4,I only help a little during holidays,1,American,2,unhealthy/cheap/too much/random/,4,3-5 times,3,no,1,very unlikely,1,Everyday,1,Italian/French/greek,2,store bought,pizza,pizza,3,neutral,1,very unlikely,6,4,"$50,001 to $70,000",1,very unlikely,5,very likely,2,In a relationship ,1,never,1,On campus,2,2-3 times a week,3,$10.01 to $20.00,1,very unlikely,2,very fit,1,Yes,1,very unlikely,1,very unlikely,2,No,180
4,A,1,Female,3,it is moderately important ,1,stress,3,"Whenever I can, but that is not very often",,,1,healthy/balanced/moderated/,1,Never,2,yes part time,2,unlikely,2,Twice or three times per week,7,Jamaican,1,cooked at home,"Curry, Stew Chicken and Saltfish",Curry,5,very likely,2,unlikely,7,1,"less than $15,000",5,very likely,3,neutral,2,In a relationship ,4,on most products,1,On campus,2,2-3 times a week,2,$5.01 to $10.00,2,unlikely,3,just right,2,No,1,very unlikely,5,very likely,1,Yes,145
3.6,B+,2,Male,3,it is moderately important ,2,boredom,3,"Whenever I can, but that is not very often",1,American,3,the same thing over and over,2,1-2 times,3,no,4,likely,1,Everyday,5,American,3,both bought at store and cooked at home,"chicken fingers, steak, mac and cheese",chicken fingers,3,neutral,3,neutral,8,6,"higher than $100,000",3,neutral,5,very likely,2,In a relationship ,4,on most products,1,On campus,1,Almost everyday,6,more than $40.01,2,unlikely,2,very fit,1,Yes,3,neutral,4,likely,2,No,170
3.4,B,1,Female,3,it is moderately important ,3,depression/sadness,3,"Whenever I can, but that is not very often",1,American,1,healthy/balanced/moderated/,3,2-3 times,2,yes part time,1,very unlikely,3,Once a week,5,American,3,both bought at store and cooked at home,Chicken,Chicken,5,very likely,3,neutral,6,5,"$70,001 to $100,000",1,very unlikely,5,very likely,2,In a relationship ,2,on certain products only,1,On campus,1,Almost everyday,2,$5.01 to $10.00,1,very unlikely,3,just right,2,No,1,very unlikely,5,very likely,1,Yes,135
2.2,C,2,Male,2,it is not at all important ,2,boredom,4,I only help a little during holidays,1,American,2,unhealthy/cheap/too much/random/,2,1-2 times,3,no,3,neutral,2,Twice or three times per week,1,Italian/French/greek,1,cooked at home,manacotti,manacotti,2,unlikely,3,neutral,4,5,"$70,001 to $100,000",2,unlikely,5,very likely,1,Single ,1,never,1,On campus,1,Almost everyday,3,$10.01 to $20.00,3,neutral,4,slightly overweight,,,3,neutral,2,unlikely,2,No,165
3.3,B,2,Male,3,it is moderately important ,7,happiness,5,"Never, I really do not know my way around a kitchen",1,American,2,unhealthy/cheap/too much/random/,4,3-5 times,2,yes part time,4,likely,1,Everyday,2,Spanish/mexican,3,both bought at store and cooked at home,"pizza, chicken fingers",pizza,2,unlikely,2,unlikely,5,6,"higher than $100,000",1,very unlikely,4,likely,1,Single ,2,on certain products only,1,On campus,1,Almost everyday,2,$5.01 to $10.00,1,very unlikely,6,i dont think myself in these terms,1,Yes,1,very unlikely,3,neutral,2,No,175
3.87,B+,2,Male,3,it is moderately important ,2,boredom,3,"Whenever I can, but that is not very often",3,Korean/Asian,2,unhealthy/cheap/too much/random/,1,Never,2,yes part time,3,neutral,1,Everyday,8,indian,2,store bought,Pasta,Pasta,3,neutral,5,very likely,8,6,"higher than $100,000",5,very likely,5,very likely,2,In a relationship ,4,on most products,1,On campus,3,1-2 times a week,5,$30.01 to $40.00,5,very likely,2,very fit,1,Yes,5,very likely,2,unlikely,2,No,195
3.7,B+,2,Male,3,it is moderately important ,3,depression/sadness,5,"Never, I really do not know my way around a kitchen",2,Mexican.Spanish,1,healthy/balanced/moderated/,1,Never,2,yes part time,3,neutral,1,Everyday,1,Italian/French/greek,1,cooked at home,pasta,pasta,4,likely,4,likely,2,6,"higher than $100,000",5,very likely,5,very likely,1,Single ,3,very rarely,1,On campus,3,1-2 times a week,5,$30.01 to $40.00,2,unlikely,2,very fit,1,Yes,4,likely,3,neutral,1,Yes,185
3.7,B+,2,Male,3,it is moderately important ,1,stress,4,I only help a little during holidays,1,American,1,healthy/balanced/moderated/,2,1-2 times,2,yes part time,5,very likely,3,Once a week,4,asian/chineses/thai/nepal,1,cooked at home,Chicken Nuggets,Chicken Nuggets,3,neutral,2,unlikely,4,4,"$50,001 to $70,000",4,likely,5,very likely,1,Single ,2,on certain products only,1,On campus,2,2-3 times a week,3,$10.01 to $20.00,2,unlikely,3,just right,1,Yes,4,likely,4,likely,1,Yes,185
3.9,B+,1,Female,2,it is not at all important ,6,cold weather,1,Every day,1,American,1,healthy/balanced/moderated/,4,3-5 times,3,no,4,likely,,,4,asian/chineses/thai/nepal,1,cooked at home,Spaghetti ,Spaghetti ,4,likely,5,very likely,5,4,"$50,001 to $70,000",3,neutral,5,very likely,2,In a relationship ,2,on certain products only,1,On campus,1,Almost everyday,3,$10.01 to $20.00,3,neutral,4,slightly overweight,2,No,4,likely,4,likely,2,No,105
2.8,C+,1,Female,3,it is moderately important ,2,boredom,3,"Whenever I can, but that is not very often",1,American,1,healthy/balanced/moderated/,2,1-2 times,3,no,2,unlikely,1,Everyday,0,none,3,both bought at store and cooked at home,"Chicken parm, beef stroganof, tacos",Chicken parm,4,likely,3,neutral,8,6,"higher than $100,000",3,neutral,3,neutral,1,Single ,4,on most products,1,On campus,1,Almost everyday,3,$10.01 to $20.00,3,neutral,3,just right,1,Yes,3,neutral,3,neutral,2,No,125
3.7,B+,2,Male,2,it is not at all important ,2,boredom,3,"Whenever I can, but that is not very often",1,American,1,healthy/balanced/moderated/,2,1-2 times,2,yes part time,2,unlikely,1,Everyday,1,Italian/French/greek,1,cooked at home,"Chicken Parm, Pizza ",Chicken Parm,3,neutral,1,very unlikely,9,5,"$70,001 to $100,000",1,very unlikely,5,very likely,2,In a relationship ,2,on certain products only,1,On campus,1,Almost everyday,4,$20.01 to $30.00,1,very unlikely,2,very fit,1,Yes,2,unlikely,3,neutral,2,No,160
3,B,2,Male,4,it is very important,2,boredom,4,I only help a little during holidays,1,American,1,healthy/balanced/moderated/,2,1-2 times,3,no,3,neutral,1,Everyday,2,Spanish/mexican,1,cooked at home,Steak,Steak,5,very likely,3,neutral,9,6,"higher than $100,000",3,neutral,4,likely,2,In a relationship ,4,on most products,1,On campus,1,Almost everyday,6,more than $40.01,2,unlikely,2,very fit,1,Yes,3,neutral,5,very likely,1,Yes,175
3.2,B,2,Male,2,it is not at all important ,2,boredom,2,A couple of times a week,2,Mexican.Spanish,2,unhealthy/cheap/too much/random/,2,1-2 times,2,yes part time,2,unlikely,2,Twice or three times per week,1,Italian/French/greek,1,cooked at home,"Deer Steak, Buttered Pasta, Garlic Pasta",Deer Steak,3,neutral,1,very unlikely,4,5,"$70,001 to $100,000",1,very unlikely,5,very likely,1,Single ,5,on everything,1,On campus,1,Almost everyday,3,$10.01 to $20.00,2,unlikely,3,just right,2,No,1,very unlikely,2,unlikely,1,Yes,180
3.5,B+,2,Male,2,it is not at all important ,2,boredom,3,"Whenever I can, but that is not very often",,,2,unhealthy/cheap/too much/random/,5,every day,3,no,5,very likely,2,Twice or three times per week,8,indian,1,cooked at home,"Crab legs, Mushroom soup, homemade rolls",Crab legs,5,very likely,3,neutral,9,5,"$70,001 to $100,000",5,very likely,5,very likely,1,Single ,2,on certain products only,1,On campus,1,Almost everyday,4,$20.01 to $30.00,5,very likely,2,very fit,2,No,5,very likely,4,likely,1,Yes,167
4,A,1,Female,3,it is moderately important ,1,stress,3,"Whenever I can, but that is not very often",1,American,1,healthy/balanced/moderated/,3,2-3 times,2,yes part time,4,likely,2,Twice or three times per week,2,Spanish/mexican,2,store bought,"french fries, waffles, chocolate",french fries,3,neutral,2,unlikely,7,5,"$70,001 to $100,000",3,neutral,4,likely,2,In a relationship ,4,on most products,3,Live with my parents and commute,3,1-2 times a week,3,$10.01 to $20.00,2,unlikely,3,just right,1,Yes,3,neutral,5,very likely,1,Yes,115
4,A,2,Male,3,it is moderately important ,1,stress,2,A couple of times a week,1,American,2,unhealthy/cheap/too much/random/,2,1-2 times,3,no,5,very likely,2,Twice or three times per week,1,Italian/French/greek,1,cooked at home,chicken and biscuits,chicken and biscuits,5,very likely,5,very likely,5,4,"$50,001 to $70,000",4,likely,5,very likely,1,Single ,4,on most products,4,Own my own house,1,Almost everyday,3,$10.01 to $20.00,3,neutral,4,slightly overweight,2,No,4,likely,5,very likely,1,Yes,205
3.4,B,2,Male,3,it is moderately important ,4,hunger,5,"Never, I really do not know my way around a kitchen",,,2,unhealthy/cheap/too much/random/,3,2-3 times,2,yes part time,5,very likely,,,2,Spanish/mexican,,,"Spaghetti, Chicken, Won Tons",Spaghetti,4,likely,5,very likely,5,5,"$70,001 to $100,000",5,very likely,5,very likely,1,Single ,4,on most products,1,On campus,3,1-2 times a week,4,$20.01 to $30.00,5,very likely,4,slightly overweight,1,Yes,5,very likely,5,very likely,1,Yes,
2.8,C+,1,Female,3,it is moderately important ,2,boredom,4,I only help a little during holidays,2,Mexican.Spanish,2,unhealthy/cheap/too much/random/,2,1-2 times,3,no,4,likely,3,Once a week,1,Italian/French/greek,1,cooked at home,"Chicken Nuggets, Mac and Cheese, and pasta",Chicken Nuggets,3,neutral,5,very likely,7,3,"$30,001 to $50,000",2,unlikely,5,very likely,1,Single ,4,on most products,1,On campus,1,Almost everyday,3,$10.01 to $20.00,2,unlikely,3,just right,2,No,1,very unlikely,3,neutral,1,Yes,128
3.65,B+,1,Female,3,it is moderately important ,2,boredom,4,I only help a little during holidays,1,American,2,unhealthy/cheap/too much/random/,3,2-3 times,3,no,2,unlikely,1,Everyday,1,Italian/French/greek,3,both bought at store and cooked at home,"hamburgers, chicken nuggets ",hamburgers,5,very likely,3,neutral,1,6,"higher than $100,000",1,very unlikely,5,very likely,1,Single ,4,on most products,1,On campus,5,never,4,$20.01 to $30.00,1,very unlikely,2,very fit,1,Yes,3,neutral,4,likely,1,Yes,150
3,B,1,Female,2,it is not at all important ,2,boredom,1,Every day,1,American,3,the same thing over and over,2,1-2 times,3,no,2,unlikely,1,Everyday,5,American,1,cooked at home,"chicken, pasta, stir fry",chicken,5,very likely,3,neutral,2,4,"$50,001 to $70,000",1,very unlikely,5,very likely,2,In a relationship ,2,on certain products only,2,Rent out of campus,1,Almost everyday,3,$10.01 to $20.00,2,unlikely,2,very fit,1,Yes,2,unlikely,5,very likely,2,No,150
3.7,B+,1,Female,3,it is moderately important ,2,boredom,3,"Whenever I can, but that is not very often",,,2,unhealthy/cheap/too much/random/,4,3-5 times,2,yes part time,4,likely,1,Everyday,1,Italian/French/greek,3,both bought at store and cooked at home,"pizza, pasta, grilled cheese ",pizza,5,very likely,3,neutral,7,6,"higher than $100,000",2,unlikely,5,very likely,1,Single ,3,very rarely,1,On campus,2,2-3 times a week,3,$10.01 to $20.00,1,very unlikely,4,slightly overweight,1,Yes,2,unlikely,5,very likely,2,No,150
3.4,B,1,Female,4,it is very important,1,stress,2,A couple of times a week,6,other,2,unhealthy/cheap/too much/random/,2,1-2 times,2,yes part time,4,likely,3,Once a week,1,Italian/French/greek,1,cooked at home,Pasta,Pasta,3,neutral,5,very likely,4,6,"higher than $100,000",3,neutral,5,very likely,2,In a relationship ,4,on most products,1,On campus,1,Almost everyday,4,$20.01 to $30.00,3,neutral,4,slightly overweight,1,Yes,5,very likely,4,likely,2,No,170
3.89,B+,1,Female,3,it is moderately important ,2,boredom,3,"Whenever I can, but that is not very often",1,American,1,healthy/balanced/moderated/,2,1-2 times,3,no,4,likely,2,Twice or three times per week,1,Italian/French/greek,1,cooked at home,chicken parmesan,chicken parmesan,4,likely,3,neutral,6,5,"$70,001 to $100,000",3,neutral,5,very likely,2,In a relationship ,4,on most products,1,On campus,1,Almost everyday,3,$10.01 to $20.00,3,neutral,4,slightly overweight,1,Yes,2,unlikely,3,neutral,2,No,150
3,B,2,Male,,,9,none,5,"Never, I really do not know my way around a kitchen",1,American,2,unhealthy/cheap/too much/random/,5,every day,3,no,3,neutral,1,Everyday,2,Spanish/mexican,1,cooked at home,Chicken and steak ,Chicken and steak ,5,very likely,1,very unlikely,3,6,"higher than $100,000",3,neutral,4,likely,2,In a relationship ,1,never,2,Rent out of campus,3,1-2 times a week,3,$10.01 to $20.00,1,very unlikely,1,slim,1,Yes,3,neutral,3,neutral,2,No,175
